,pid,lab,ml,ap,dv,phi,theta,depth
50,d75517b1-7a10-454d-b395-ba93850799bd,mrsicflogellab,1086.000,8868.000,5676.000,57.619,15.006,4427.408
51,814de925-fd6a-4f63-9070-3da78243e246,hoferlab,3344.000,7043.000,4985.000,36.610,11.297,4649.776
52,be76cfe3-b2bb-4358-956b-0fad07215972,mainenlab,4801.000,6377.000,6260.000,9.010,12.574,5927.407
53,3eda39fe-1d27-49bb-b4a9-5acfad596f6c,hoferlab,3210.000,8580.000,5724.000,47.569,11.845,5541.548
54,f05b5941-68bd-4bf5-980d-721959bd4443,angelakilab,5512.000,6508.000,4537.000,132.542,16.476,4105.536
55,ad256265-03f2-4b4e-954b-0ba0c5cf6707,churchlandlab_ucla,6221.000,7299.000,5271.000,-3.890,21.281,5120.250
56,39b433d0-ec60-460f-8002-a393d81620a4,mainenlab,3487.000,10562.000,5053.000,-15.521,9.478,3703.929
57,35897454-8702-4dc4-9865-7f01fa65f355,churchlandlab,5960.000,12083.000,7350.000,33.380,14.676,6331.683
58,c1d71e2e-1b1b-4c74-a38b-2a0e8152400a,zadorlab,5386.000,7636.000,5702.000,37.274,15.146,5596.258
59,834fca72-0b69-44e4-b77e-95a61290b50d,mainenlab,3833.000,7868.000,5254.000,33.612,12.028,5141.757
60,1f555fc6-5067-428b-a284-da6fb0b6b3a0,wittenlab,3646.000,9379.000,4140.000,-175.396,9.669,3413.358
61,ecd07b7e-6450-4e31-bef1-f195129eb3d3,danlab,6545.000,9025.000,4707.000,-0.000,10.529,4406.442
62,71ea989a-2e1a-4022-aff5-fcfe9a2c9452,danlab,3443.000,8953.000,4935.000,172.829,11.339,4191.493
63,7bd5627e-b02e-47f1-b476-4bf8eaa726b3,mrsicflogellab,4221.000,4344.000,5781.000,139.244,17.088,4138.701
64,0fcb5f66-4d56-4247-8413-aef51e484e67,wittenlab,6853.000,11399.000,6563.000,3.336,9.035,5404.922
65,8413c5c6-b42b-4ec6-b751-881a54413628,zadorlab,4266.000,7809.000,4558.000,167.954,11.242,4214.216
66,72c095b0-c7ab-4e22-a4aa-4163102de553,mrsicflogellab,6738.000,11417.000,6468.000,8.390,21.423,5014.804
