,pid,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m
109,f0dfd1c1-d315-4cf8-9130-05d3be2ea0cb,4839.630,10067.216,59.684,3836.174,10067.216,6181.404
110,70da415f-444d-4148-ade7-a1f58a16fcf8,3339.210,7416.683,841.605,4426.903,7416.683,5208.244
111,63435e73-6a72-4007-b0da-03e6473e6870,1430.912,9186.712,2352.226,2518.659,9186.712,6719.084
112,8d661567-49f3-4547-997d-a345c0ffe2dd,1579.546,6444.229,2620.701,1076.951,6444.229,5686.847
113,1a276285-8b0e-4cc9-9f0a-a3a002978724,2768.727,4673.715,1737.763,1969.143,4673.715,6615.733
114,72274871-80e5-4fb9-be1a-bb04acebb1de,1564.840,9119.884,1965.446,2652.315,9119.884,6331.213
115,ad315779-2b39-46c4-8348-b166e796fa7c,7045.723,3014.549,1513.921,5957.758,3014.549,5881.652
116,df350b09-a420-42bb-9952-17862cbb9f1c,4470.828,2983.317,3091.322,5558.738,2983.317,7458.835
117,cc9d666c-6fe5-418d-9b37-114428d25454,4016.521,8277.983,59.684,5104.485,8277.983,4427.415
118,1df6ebb3-9d16-4c0f-96cc-e1b1596d2006,1708.118,7460.233,1808.497,844.072,7460.233,7079.722
119,2c401cbd-b95c-4ebe-8a83-92b55ab49542,3222.508,2505.529,1753.356,4282.144,2505.529,6007.359
120,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,2225.239,9528.613,2377.085,1494.513,9528.613,6834.981
121,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,1407.487,9308.632,2341.492,2484.713,9308.632,6666.111
122,bbe6ebc1-d32f-42dd-a89c-211226737deb,3428.076,7475.655,332.000,4474.770,7475.655,4534.050
123,f639f4f3-ac14-4114-b712-f445463597e4,6369.252,6757.905,332.000,4517.360,6757.905,6847.839
124,f2a098e7-a67e-4125-92d8-36fc6b606c45,3266.311,7667.701,83.412,4353.867,7667.701,4449.506
125,3282a590-8688-44fc-9811-cdf8b80d9a80,1747.403,7980.019,332.000,489.976,7980.019,4048.299
126,ff5fceaf-8247-42ab-a187-f7876441899d,4005.807,2053.734,332.000,4930.160,2053.734,4042.901
127,100433fa-2c59-4432-8295-aa27657fe3fb,1537.319,8600.776,332.000,807.705,8600.776,4783.108
128,d591a59c-b49b-46ba-a914-df379ada9813,4121.353,2393.210,332.000,5192.307,2218.842,4697.766
129,6b6af675-e1ef-43a6-b408-95cfc71fe2cc,3428.076,7362.173,332.000,4515.551,7362.173,4697.766
130,b2ea68e2-c732-4d17-8166-1a8595fff225,2464.840,8096.411,332.000,920.001,8096.411,4897.738
131,49a86b2e-3db4-42f2-8da8-7ebb7e482c70,2074.084,4790.883,332.000,1508.633,4790.883,3781.609
132,3c283107-7012-48fc-a6c2-ed096b23974f,4709.588,8503.783,332.000,5712.808,8503.783,6452.274
133,4ea45238-55b1-4d54-ba92-efa47feb9f57,2881.857,9861.688,332.000,1486.056,9974.447,4473.018
134,d4291925-ad00-47fe-baaf-3fdff0991e86,5003.706,8833.560,332.000,6091.181,8833.560,4697.766
135,ad714133-1e03-4d3a-8427-33fc483daf1a,3428.076,7339.864,332.000,4515.551,7339.864,4697.766
136,d7ec0892-0a6c-4f4f-9d8f-72083692af5c,7314.630,10433.948,332.000,6227.155,10433.948,4697.766
137,be9a2119-a4d7-4e62-82a1-b1a6623ecc99,2692.782,8484.384,332.000,1744.283,8484.384,6118.441
